ROI,Subject,Weight
1,208_KAN_evDB_20140121a_PL2017,1.000000
1,209_KAN_evDB_20140224_PL2017,1.000000
1,210_KAN_evDB_20140303a_PL2017,1.000000
1,211_KAN_evDB_20140303b_PL2017,1.000000
1,221_KAN_evDB_20140808_PL2017,1.000000
1,223_KAN_evDB_20140820a_PL2017,1.000000
1,214_KAN_evDB_20141103b_PL2017,1.000000
1,240_KAN_evDB_20141103a_PL2017,1.000000
1,227_KAN_evDB_20141201c2_PL2017,1.000000
1,192_KAN_EvDB_20150211b_PL2017,1.000000
1,253_KAN_EvDB_20150211a_PL2017,1.000000
1,254_KAN_EvDB_20150211c_PL2017,1.000000
1,117_KAN_EvDB_20150217c_PL2017,1.000000
1,127_KAN_EvDB_20150217a_PL2017,1.000000
1,259_KAN_EvDB_20150224c_PL2017,1.000000
1,264_KAN_EvDB_20150310c_PL2017,1.000000
2,208_KAN_evDB_20140121a_PL2017,1.000000
2,209_KAN_evDB_20140224_PL2017,1.000000
2,210_KAN_evDB_20140303a_PL2017,1.000000
2,211_KAN_evDB_20140303b_PL2017,1.000000
2,221_KAN_evDB_20140808_PL2017,1.000000
2,223_KAN_evDB_20140820a_PL2017,1.000000
2,214_KAN_evDB_20141103b_PL2017,1.000000
2,240_KAN_evDB_20141103a_PL2017,1.000000
2,227_KAN_evDB_20141201c2_PL2017,1.000000
2,192_KAN_EvDB_20150211b_PL2017,1.000000
2,253_KAN_EvDB_20150211a_PL2017,1.000000
2,254_KAN_EvDB_20150211c_PL2017,1.000000
2,117_KAN_EvDB_20150217c_PL2017,1.000000
2,127_KAN_EvDB_20150217a_PL2017,1.000000
2,259_KAN_EvDB_20150224c_PL2017,1.000000
2,264_KAN_EvDB_20150310c_PL2017,1.000000
3,208_KAN_evDB_20140121a_PL2017,1.000000
3,209_KAN_evDB_20140224_PL2017,1.000000
3,210_KAN_evDB_20140303a_PL2017,1.000000
3,211_KAN_evDB_20140303b_PL2017,1.000000
3,221_KAN_evDB_20140808_PL2017,1.000000
3,223_KAN_evDB_20140820a_PL2017,1.000000
3,214_KAN_evDB_20141103b_PL2017,1.000000
3,240_KAN_evDB_20141103a_PL2017,1.000000
3,227_KAN_evDB_20141201c2_PL2017,1.000000
3,192_KAN_EvDB_20150211b_PL2017,1.000000
3,253_KAN_EvDB_20150211a_PL2017,1.000000
3,254_KAN_EvDB_20150211c_PL2017,1.000000
3,117_KAN_EvDB_20150217c_PL2017,1.000000
3,127_KAN_EvDB_20150217a_PL2017,1.000000
3,259_KAN_EvDB_20150224c_PL2017,1.000000
3,264_KAN_EvDB_20150310c_PL2017,1.000000
4,208_KAN_evDB_20140121a_PL2017,1.000000
4,209_KAN_evDB_20140224_PL2017,1.000000
4,210_KAN_evDB_20140303a_PL2017,1.000000
4,211_KAN_evDB_20140303b_PL2017,1.000000
4,221_KAN_evDB_20140808_PL2017,1.000000
4,223_KAN_evDB_20140820a_PL2017,1.000000
4,214_KAN_evDB_20141103b_PL2017,1.000000
4,240_KAN_evDB_20141103a_PL2017,1.000000
4,227_KAN_evDB_20141201c2_PL2017,1.000000
4,192_KAN_EvDB_20150211b_PL2017,1.000000
4,253_KAN_EvDB_20150211a_PL2017,1.000000
4,254_KAN_EvDB_20150211c_PL2017,1.000000
4,117_KAN_EvDB_20150217c_PL2017,1.000000
4,127_KAN_EvDB_20150217a_PL2017,1.000000
4,259_KAN_EvDB_20150224c_PL2017,1.000000
4,264_KAN_EvDB_20150310c_PL2017,1.000000
5,208_KAN_evDB_20140121a_PL2017,1.000000
5,209_KAN_evDB_20140224_PL2017,1.000000
5,210_KAN_evDB_20140303a_PL2017,1.000000
5,211_KAN_evDB_20140303b_PL2017,1.000000
5,221_KAN_evDB_20140808_PL2017,1.000000
5,223_KAN_evDB_20140820a_PL2017,1.000000
5,214_KAN_evDB_20141103b_PL2017,1.000000
5,240_KAN_evDB_20141103a_PL2017,1.000000
5,227_KAN_evDB_20141201c2_PL2017,1.000000
5,192_KAN_EvDB_20150211b_PL2017,1.000000
5,253_KAN_EvDB_20150211a_PL2017,1.000000
5,254_KAN_EvDB_20150211c_PL2017,1.000000
5,117_KAN_EvDB_20150217c_PL2017,1.000000
5,127_KAN_EvDB_20150217a_PL2017,1.000000
5,259_KAN_EvDB_20150224c_PL2017,1.000000
5,264_KAN_EvDB_20150310c_PL2017,1.000000
